Permiso CRE,Place ID,Marca,Estacion,Direccion,Municipio,Estado,Region,Lat,Lon
CNE/PL/276/EXP/ES/2025,30510,,SUPER SERVICIO MARAVILLAS SA DE CV,,Tangancícuaro,Michoacán,Occidente,19.87931,-102.1991
CNE/PL/277/EXP/ES/2025,30511,,ESTACION DE SERVICIO TRES G SA DE CV,,Arandas,Jalisco,Occidente,20.68485,-102.3548
CNE/PL/278/EXP/ES/2025,30512,,EDUARDO PEREZ MORFIN,,Lerma,México,Centro,19.39228,-99.53787
CNE/PL/279/EXP/ES/2025,30584,,CONVEGAS SA DE CV,,Juárez,Chihuahua,Norte,31.72423,-106.4617
CNE/PL/280/EXP/ES/2025,30570,,NORTHERN REAL FUEL SA DE CV,,Matamoros,Tamaulipas,Noreste,25.86843,-97.55685
CNE/PL/281/EXP/ES/2025,30561,,CORPORATIVO CARPEMA ENERGY SA DE CV,,Salina Cruz,Oaxaca,Sur,16.24192,-95.20414
CNE/PL/282/EXP/ES/2025,30583,,ESTACION DE SERVICIO PETAQUILLAS MH SA DE CV,,Chilpancingo de los Bravo,Guerrero,Sur,17.505,-99.47295
CNE/PL/283/EXP/ES/2025,30544,,PETRO FUELS ZACATAL SA DE CV,,Cadereyta Jiménez,Nuevo León,Noreste,25.46103,-99.99777
CNE/PL/284/EXP/ES/2025,30562,,PETRO FUELS ZACATAL SA DE CV,,Cadereyta Jiménez,Nuevo León,Noreste,25.47509,-99.99922
CNE/PL/285/EXP/ES/2025,30563,,OSCAR ROBERTO DIARTE CHAIDEZ,,Navolato,Sinaloa,Noroeste,24.75638,-107.6844
CNE/PL/286/EXP/ES/2025,30513,,DAGAL SA DE CV,,,Baja California,Noroeste,32.66486,-115.3794
CNE/PL/287/EXP/ES/2025,30564,,INMOBILIARIA SAMICH SA DE CV,,Atotonilco el Alto,Jalisco,Occidente,20.5512,-102.5134
CNE/PL/288/EXP/ES/2025,30545,,INMOBILIARIA SAMICH SA DE CV,,Bahía de Banderas,Nayarit,Noroeste,20.73323,-105.2782
CNE/PL/289/EXP/ES/2025,30514,,ADVICE GLOBAL STATION SA DE CV,,Amozoc,Puebla,Centro,19.03977,-98.03927
CNE/PL/290/EXP/ES/2025,30546,,V-RED SA DE CV,,Delicias,Chihuahua,Norte,28.20406,-105.4584
CNE/PL/291/EXP/ES/2025,30515,,"ADMINISTRADORA DEL MERCADO DE ABASTOS ESTRELLA, SA",,San Nicolás de los Garza,Nuevo León,Noreste,25.71615,-100.2946
CNE/PL/292/EXP/ES/2025,30565,,ENERGETICOS MAJOT 4 SA DE CV,,Cuapiaxtla de Madero,Puebla,Centro,18.92483,-97.8515
CNE/PL/293/EXP/ES/2025,30547,,MONICA ROXANA LIEVANO MORENO,,San Cristóbal de las Casas,Chiapas,Sur,16.71144,-92.63327
CNE/PL/294/EXP/ES/2025,30516,,FRANCISCO GABRIEL ALVAREZ ALCARAZ,,Solosuchiapa,Chiapas,Sur,17.40828,-93.03108
CNE/PL/295/EXP/ES/2025,30548,,GRUPO GASOLINERO MAYALI SA DE CV,,Santa María Tonameca,Oaxaca,Sur,15.74182,-96.80959
CNE/PL/296/EXP/ES/2025,30517,,OPERADORA DE COMBUSTIBLES COSTEROS SA DE CV,,Oaxaca de Juárez,Oaxaca,Sur,17.08286,-96.75075
CNE/PL/297/EXP/ES/2025,30518,,GASOLINERA LUVIANOS SA DE CV,,Santo Tomás,México,Centro,19.18304,-100.2577
CNE/PL/298/EXP/ES/2025,30549,,SERVICIO HOTWHEELS SA DE CV,,Tapachula,Chiapas,Sur,14.89864,-92.27242
CNE/PL/299/EXP/ES/2025,30519,,"COMBUSTIBLES RAGAS, S.A. DE C.V.",,Aguascalientes,Aguascalientes,Occidente,21.89952,-102.2922
CNE/PL/300/EXP/ES/2025,30550,,NG FUEL SA DE CV,,Cuauhtémoc,Chihuahua,Norte,28.41783,-106.8383
CNE/PL/301/EXP/ES/2025,30579,,"SIEMPRE GAS HUANIQUEO, S.A. DE C.V.",,Jiménez,Michoacán,Occidente,19.92992,-101.6083
CNE/PL/302/EXP/ES/2025,30551,,ESTACION DE SERVICIO LA ALDEA SA DE CV,,Morelia,Michoacán,Occidente,19.7349,-101.1348
CNE/PL/303/EXP/ES/2025,30566,,GASOLINERA BOQUILLA SA DE CV,,Chihuahua,Chihuahua,Norte,28.59579,-106.1291
CNE/PL/304/EXP/ES/2025,30552,,ENERGETICOS CIHUALPILLI SA DE CV,,Tonalá,Jalisco,Occidente,20.61788,-103.2486
CNE/PL/305/EXP/ES/2025,30576,,COMBUSTIBLES Y LUBRICANTES LAS PINTAS SA DE CV,,Manlio Fabio Altamirano,Veracruz,Golfo,19.05142,-96.38961
CNE/PL/306/EXP/ES/2025,30577,,ADUGAS SA DE CV,,Puebla,Puebla,Centro,19.06391,-98.19124
CNE/PL/307/EXP/ES/2025,30567,,SERVICIOS ECOLOGICOS SIERRA DEL CARMEN SA DE CV,,Tulum,Quintana Roo,Sureste,20.20537,-87.48218
CNE/PL/308/EXP/ES/2025,30553,,CYTROGAS SA DE CV,,Acatlán de Pérez Figueroa,Oaxaca,Sur,18.47189,-96.42428
CNE/PL/309/EXP/ES/2025,30581,,ALEJANDRO GURROLA QUINTERO,,Culiacán,Sinaloa,Noroeste,24.80918,-107.4637
CNE/PL/310/EXP/ES/2025,30568,,ENERGETICOS DEL ALTIPLANO SA DE CV,,Apodaca,Nuevo León,Noreste,25.71909,-100.1354
CNE/PL/311/EXP/ES/2025,30580,,GASOVIA SA DE CV,,Zapopan,Jalisco,Occidente,20.75,-103.5369
CNE/PL/312/EXP/ES/2025,30572,,COMBUSTIBLES BOLA SA DE CV,,Culiacán,Sinaloa,Noroeste,24.83925,-107.4248
CNE/PL/313/EXP/ES/2025,30520,,SERVICIOS ECOLOGICOS CALETA TANKAH SA DE CV,,Tulum,Quintana Roo,Sureste,20.26002,-87.47094
CNE/PL/314/EXP/ES/2025,30521,,"SX3 COMBUSTIBLES, S.A. DE C.V.",,Jiménez,Michoacán,Occidente,19.93019,-101.61
CNE/PL/315/EXP/ES/2025,30574,,ESTACION DE SERVICIO OXA SA DE CV,,Piedras Negras,Coahuila,Noreste,28.67457,-100.548
CNE/PL/316/EXP/ES/2025,30573,,SERVIMAVI SOLIDARIDAD S DE RL DE CV,,Irapuato,Guanajuato,Occidente,20.69187,-101.3409
CNE/PL/317/EXP/ES/2025,30522,,MERCANTIL DISTRIBUIDORA SA DE CV,,Victoria,Tamaulipas,Noreste,23.75736,-99.1195
CNE/PL/318/EXP/ES/2025,30554,,PETRO CHAVER SA DE CV,,Zapotlán el Grande,Jalisco,Occidente,19.71607,-103.4906
