Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-17,No especificado,No especificado,No especificado,,PL/9777/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9776/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9775/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9774/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9773/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9772/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9771/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9770/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/977/EXP/ES/2015,,24.19,29.39,
2026-08-17,No especificado,No especificado,No especificado,,PL/9769/EXP/ES/2015,,24.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9768/EXP/ES/2015,,23.99,29.69,
2026-08-17,No especificado,No especificado,No especificado,,PL/9767/EXP/ES/2015,,23.99,29.29,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9766/EXP/ES/2015,,24.49,29.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/9765/EXP/ES/2015,,23.99,29.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/9764/EXP/ES/2015,,24.00,28.00,27.50
2026-08-17,No especificado,No especificado,No especificado,,PL/9763/EXP/ES/2015,,23.99,27.48,
2026-08-17,No especificado,No especificado,No especificado,,PL/9762/EXP/ES/2015,,23.97,28.93,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9761/EXP/ES/2015,,21.47,25.00,26.97
2026-08-17,No especificado,No especificado,No especificado,,PL/976/EXP/ES/2015,,23.00,27.60,26.80
2026-08-17,No especificado,No especificado,No especificado,,PL/9759/EXP/ES/2015,,23.99,28.48,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9758/EXP/ES/2015,,23.99,29.58,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9757/EXP/ES/2015,,23.96,28.84,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9756/EXP/ES/2015,,23.99,28.85,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9755/EXP/ES/2015,,23.99,28.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/9754/EXP/ES/2015,,23.99,28.89,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9753/EXP/ES/2015,,23.99,28.70,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9752/EXP/ES/2015,,24.79,29.49,
2026-08-17,No especificado,No especificado,No especificado,,PL/9751/EXP/ES/2015,,24.79,29.49,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9750/EXP/ES/2015,,24.79,29.49,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/975/EXP/ES/2015,,23.99,28.10,
2026-08-17,No especificado,No especificado,No especificado,,PL/9749/EXP/ES/2015,,23.99,28.85,
2026-08-17,No especificado,No especificado,No especificado,,PL/9748/EXP/ES/2015,,23.99,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9747/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,No especificado,No especificado,No especificado,SAVLOZ COMPANNY S.A. DE C.V.,PL/9746/EXP/ES/2015,Ejidal Emiliano Zapata No. 10,23.99,29.99,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9745/EXP/ES/2015,,23.99,,27.50
2026-08-17,No especificado,No especificado,No especificado,,PL/9744/EXP/ES/2015,,23.15,27.79,
2026-08-17,No especificado,No especificado,No especificado,,PL/9743/EXP/ES/2015,,23.99,29.40,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9742/EXP/ES/2015,,23.95,28.65,
2026-08-17,No especificado,No especificado,No especificado,,PL/9741/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/974/EXP/ES/2015,,24.19,29.49,27.49
2026-08-17,No especificado,No especificado,No especificado,,PL/9739/EXP/ES/2015,,23.40,27.37,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9738/EXP/ES/2015,,23.99,28.65,27.14
2026-08-17,No especificado,No especificado,No especificado,,PL/9737/EXP/ES/2015,,23.98,29.14,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9736/EXP/ES/2015,,23.99,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9735/EXP/ES/2015,,21.29,24.79,25.39
2026-08-17,No especificado,No especificado,No especificado,,PL/9734/EXP/ES/2015,,,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9733/EXP/ES/2015,,24.40,29.61,27.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9731/EXP/ES/2015,,23.89,27.99,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9730/EXP/ES/2015,,23.98,28.49,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/973/EXP/ES/2015,,24.19,29.49,27.00
