Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel,Tipo Diesel
2026-08-18,,,,ESTACIÓN DE SERVICIO SIERRA DEL TIGRE S.A. DE C.V.,PL/10865/EXP/ES/2015,Carretera Valle de Juárez-Mazamitla Km 1.50,24.40,29.80,27.99,Diésel
2026-08-18,,,,GASOLINERA Y LUBRICANTES REAL DE COLIMA S.A. DE C.V.,PL/9429/EXP/ES/2015,Camino Real a Colima No. 1992,22.99,28.39,26.99,DUBA
2026-08-18,,,,JORIMAR GASOLINEROS S.A. DE C.V.,PL/9351/EXP/ES/2015,Carretera a Toluquilla Ingreso Al Fraccionamientola Fortuna N. 5600,22.99,28.39,26.99,DUBA
2026-08-18,,,,JORIMAR GASOLINEROS S.A. DE C.V.,PL/13724/EXP/ES/2016,Carretera Cajititlán-Cuexcomatitlán Km 1.0 N. 2,22.99,28.39,26.99,Automotriz
2026-08-18,,,,GASOLINERA CUESCO S.A. DE C.V.,PL/4868/EXP/ES/2015,Carretera Cajititlán-Cuexcomatitlán No. 800 Km 6.40,22.99,28.90,26.99,Automotriz
2026-08-18,,,,JORIMAR GASOLINEROS S.A. DE C.V.,PL/9346/EXP/ES/2015,Carretera Cuescomatitlán - Cajititlán N-301,22.99,28.39,26.99,Automotriz
2026-08-18,,,,JORIMAR GASOLINEROS S.A. DE C.V.,PL/19730/EXP/ES/2016,Carretera Tlajomulco - San Miguel Cuyutlán Km 2.5 No. 670,22.99,28.39,26.99,Automotriz
2026-08-18,,,,"JORIMAR GASOLINEROS, S.A. DE C.V.",PL/22605/EXP/ES/2019,Carretera Tlajomulco - San Sebastián el Grande Km 3.5 #1100,22.99,28.39,26.99,Automotriz
2026-08-18,,,,GAS VAGA S.A. DE C.V.,PL/4298/EXP/ES/2015,Carretera Tlajomulco a San Miguel Cuyutlán No. 21,22.99,26.99,27.99,Automotriz
2026-08-18,,,,SERVICIOS GOMAR S.A. DE C.V.,PL/19220/EXP/ES/2016,Morelos N. 741,22.99,28.39,26.99,Automotriz
